date,P,Q
2006/9/14,0,852
2006/9/15,12.05,747
2006/9/16,0,653
2006/9/17,0,571
2006/9/18,0,502
2006/9/19,0,444
2006/9/20,0,400
2006/9/21,0,397
2006/9/22,0,401
2006/9/23,0,405
2006/9/24,0,407
2006/9/25,0,394
2006/9/26,0,365
2006/9/27,0,338
2006/9/28,0.85,361
2006/9/29,5.68,352
2006/9/30,10.68,341
2006/10/1,2.5,362
2006/10/2,0,376
2006/10/3,0,266
2006/10/4,0,187
2006/10/5,0,246
2006/10/6,0,420
2006/10/7,0,427
2006/10/8,0.03,375
2006/10/9,0,306
2006/10/10,0,273
2006/10/11,0,276
2006/10/12,0,277
2006/10/13,0,274
2006/10/14,0,263
2006/10/15,0,240
2006/10/16,0,177
2006/10/17,0.42,93.2
2006/10/18,0,90.2
2006/10/19,2,94.6
2006/10/20,0.08,95
2006/10/21,0,90.9
2006/10/22,0.93,91.8
2006/10/23,0,176
2006/10/24,0.55,235
2006/10/25,2.7,243
2006/10/26,0.4,239
2006/10/27,0,219
2006/10/28,0,185
2006/10/29,0,156
2006/10/30,0,128
2006/10/31,0,111
2006/11/1,0,106
2006/11/2,0,104
2006/11/3,0,103
2006/11/4,0,104
2006/11/5,0,114
2006/11/6,0,141
2006/11/7,0,154
2006/11/8,0,151
2006/11/9,0,138
2006/11/10,0,121
2006/11/11,0,119
2006/11/12,0,121
2006/11/13,0.15,120
2006/11/14,0.1,118
2006/11/15,0,118
2006/11/16,0.8,131
2006/11/17,0,157
2006/11/18,4.42,174
2006/11/19,18.2,186
2006/11/20,0.03,196
2006/11/21,0,214
2006/11/22,0.2,243
2006/11/23,25,267
2006/11/24,1,279
2006/11/25,6.58,281
2006/11/26,3.5,277
2006/11/27,18.58,273
2006/11/28,0.55,277
2006/11/29,0,283
2006/11/30,0,287
2006/12/1,0,289
2006/12/2,0,290
2006/12/3,0,294
2006/12/4,0,320
2006/12/5,0,343
2006/12/6,0,346
2006/12/7,13.63,357
2006/12/8,5.8,406
2006/12/9,5,412
2006/12/10,0,394
2006/12/11,0,329
2006/12/12,0,263
2006/12/13,0,256
2006/12/14,0,260
2006/12/15,0,269
2006/12/16,0,280
2006/12/17,0,289
2006/12/18,0,297
2006/12/19,0,301
2006/12/20,0,294
2006/12/21,0,277
2006/12/22,0,251
2006/12/23,0,219
2006/12/24,0,193
2006/12/25,0,181
2006/12/26,0,173
2006/12/27,0,168
2006/12/28,0,166
2006/12/29,0,164
2006/12/30,1.2,165
2006/12/31,0.43,169
2007/1/1,6.15,178
